City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
536,Bintulu,MY,74.77,overcast clouds,3.1667,113.0333,900 Boutique INN
537,Qandala,SO,72.39,clear sky,11.472,49.8728,
541,La Cruz,MX,72.19,scattered clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
542,Sapucaia,BR,82.71,clear sky,-29.8333,-51.15,Sitio Dalcarobo
543,Metro,ID,72.93,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
549,Kupang,ID,79.12,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
552,Wamba,NG,73.36,clear sky,8.9333,8.6,Roma Zee Guest House Annex
554,Tabou,CI,79.0,broken clouds,4.423,-7.3528,hotêl doufoulougou
559,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
560,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
563,Doka,SD,79.41,broken clouds,13.5167,35.7667,
566,Cradock,ZA,72.84,light rain,-32.1642,25.6192,Die Hoekhuis
569,Saravena,CO,85.01,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
572,Kapoeta,SS,84.16,overcast clouds,4.7717,33.5903,Eastgate Hotel
574,Itamaraca,BR,83.08,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
575,Kihurio,TZ,71.06,overcast clouds,-4.4667,38.0667,
581,Ovalle,CL,75.99,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
583,Huarmey,PE,73.87,broken clouds,-10.0681,-78.1522,Hotel Miramar
584,Manokwari,ID,78.26,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
586,Jacareacanga,BR,74.82,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
589,Buta,CD,74.25,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
591,Astrea,CO,87.93,scattered clouds,9.4983,-73.9759,Hotel y restaurante central
594,Gold Coast,AU,83.34,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
597,Chimbote,PE,73.2,scattered clouds,-9.0853,-78.5783,Hotel Briliá
601,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
611,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
612,Rio Grande,BR,74.12,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
615,Port-Gentil,GA,80.71,few clouds,-0.7193,8.7815,Fengshui Residence
619,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
622,Aketi,CD,75.52,overcast clouds,2.7388,23.7833,
624,Weligama,LK,70.84,clear sky,5.9667,80.4167,Weligama Bay Resort
626,Inongo,CD,74.8,overcast clouds,-1.95,18.2667,Hotel Du Lac
632,Sao Filipe,CV,75.49,clear sky,14.8961,-24.4956,Hotel Xaguate
633,Kanniyakumari,IN,75.18,clear sky,8.0833,77.5667,Sparsa
635,Bandarbeyla,SO,74.62,few clouds,9.4942,50.8122,JABIR HOTEL
636,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
639,Mazamari,PE,73.54,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
641,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
643,Mangai,CD,72.14,light rain,-4.05,19.5333,
646,Mahibadhoo,MV,81.82,clear sky,3.7833,72.9667,Omadhoo Inn
647,Saint-Joseph,RE,79.18,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
649,Kipini,KE,79.09,overcast clouds,-2.5257,40.5262,Delta Sea Mall
650,Mitu,CO,78.37,overcast clouds,1.1983,-70.1733,
653,San Rafael,AR,78.48,light rain,-34.6177,-68.3301,Hotel San Rafael
654,Galle,LK,72.79,few clouds,6.0367,80.217,Amangalla
655,Catuday,PH,74.41,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
657,Eydhafushi,MV,81.25,scattered clouds,5.1033,73.0708,Soneva Fushi
660,Praya,CV,71.53,clear sky,14.9215,-23.5087,LT Aparthotel
663,Omboue,GA,77.67,light rain,-1.5746,9.2618,Hotel Olako
664,Ascension,US,77.0,broken clouds,30.2169,-90.9001,Highland Inn
669,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
671,Salatiga,ID,70.39,overcast clouds,-7.3319,110.4928,Hotel Le Beringin
673,Miri,MY,75.07,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
674,Jaguaruana,BR,79.65,scattered clouds,-4.8339,-37.7811,Pousada Popular
675,Gainesville,US,73.67,clear sky,29.6516,-82.3248,Quality Inn University
680,Mata Grande,BR,79.27,few clouds,-9.1175,-37.7322,Hotel Casarão
684,Balabac,PH,80.24,broken clouds,7.9868,117.0645,Sing and Swing Lodge
685,Nabire,ID,77.59,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
687,Honiara,SB,83.64,overcast clouds,-9.4333,159.95,Heritage Park Hotel
690,Lahaina,US,83.44,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
692,Tapes,BR,76.26,clear sky,-30.6733,-51.3958,Cabanas Camping Union
694,Sabang,ID,80.26,scattered clouds,5.8933,95.3214,Hotel Citra
697,Simpang,ID,73.58,broken clouds,-1.2667,104.0833,
