City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
410,Phayakkhaphum Phisai,15.5163,103.1937,73.42,71,44,7.92,TH,2022-02-02 23:02:18,scattered clouds
411,Hay River,60.8156,-115.7999,-10.93,98,35,3.62,CA,2022-02-02 23:02:19,scattered clouds
412,Dingle,10.9995,122.6711,75.81,90,100,9.13,PH,2022-02-02 23:02:19,overcast clouds
413,Chernyshevskiy,63.0128,112.4714,-21.98,98,50,1.14,RU,2022-02-02 23:02:19,scattered clouds
414,Srandakan,-7.9386,110.2506,59.74,82,100,3.56,ID,2022-02-02 23:02:20,overcast clouds
415,Muros,42.7762,-9.0603,54.23,84,100,7.63,ES,2022-02-02 23:02:21,overcast clouds
416,Auburndale,28.0653,-81.7887,76.59,54,40,8.99,US,2022-02-02 22:59:06,scattered clouds
417,Douglas,41.3,-96.167,16.9,41,75,5.99,US,2022-02-02 23:02:19,broken clouds
418,Draguignan,43.5333,6.4667,57.38,53,6,3.44,FR,2022-02-02 23:03:21,clear sky
419,Kerouane,9.2667,-9.0167,72.12,14,51,2.37,GN,2022-02-02 23:03:22,broken clouds
420,Ternate,0.8,127.4,78.82,81,100,4.63,ID,2022-02-02 23:03:22,overcast clouds
421,Saint-Augustin,51.226,-58.6502,23.72,89,100,23.73,CA,2022-02-02 23:03:23,overcast clouds
422,Nanortalik,60.1432,-45.2371,8.1,63,43,7.74,GL,2022-02-02 23:03:23,scattered clouds
423,Ulaangom,49.9811,92.0667,-20.83,90,98,2.21,MN,2022-02-02 23:03:23,overcast clouds
424,Tecoanapa,16.5167,-98.75,81.1,58,0,8.99,MX,2022-02-02 23:03:24,clear sky
425,Marzuq,14.4,46.4667,62.67,45,95,4.05,YE,2022-02-02 23:03:24,overcast clouds
426,Comodoro Rivadavia,-45.8667,-67.5,82.26,23,0,12.66,AR,2022-02-02 23:03:25,clear sky
427,Pompeu,-19.2244,-44.9353,68.04,93,99,3.69,BR,2022-02-02 23:03:25,overcast clouds
428,Sakaiminato,35.55,133.2333,40.98,62,100,10.85,JP,2022-02-02 23:03:25,overcast clouds
429,Port Hardy,50.6996,-127.4199,37.76,98,100,14.41,CA,2022-02-02 23:00:13,moderate rain
430,Santa Isabel,-23.3156,-46.2214,70.66,99,100,2.93,BR,2022-02-02 23:03:26,light rain
431,Kasungu,-13.0333,33.4833,64.72,93,3,4.45,MW,2022-02-02 23:03:26,clear sky
432,Tutoia,-2.7619,-42.2744,82.38,78,99,10.69,BR,2022-02-02 23:03:27,overcast clouds
433,Alvorada,-12.48,-49.1247,74.91,88,44,2.06,BR,2022-02-02 23:03:27,scattered clouds
434,Big Spring,32.2504,-101.4787,31.48,83,100,5.99,US,2022-02-02 23:03:28,overcast clouds
435,Kozan,37.4552,35.8157,49.1,79,85,9.37,TR,2022-02-02 23:03:28,overcast clouds
436,Cantagalo,-21.9811,-42.3681,69.15,99,100,2.77,BR,2022-02-02 23:03:29,moderate rain
437,Khorol,49.7837,33.2783,30.52,94,100,3.38,UA,2022-02-02 23:03:29,overcast clouds
438,Simbahan,6.3032,120.5836,81.14,76,79,12.62,PH,2022-02-02 23:03:29,broken clouds
439,Morondava,-20.2833,44.2833,80.69,85,78,7.07,MG,2022-02-02 23:03:30,light rain
440,Cap Malheureux,-19.9842,57.6142,80.47,82,100,18.01,MU,2022-02-02 23:03:30,overcast clouds
441,Mount Gambier,-37.8333,140.7667,60.28,58,100,10.22,AU,2022-02-02 23:03:30,overcast clouds
442,Beidao,34.5686,105.8933,19.78,93,75,0.29,CN,2022-02-02 23:03:31,broken clouds
443,Dauphin,51.1494,-100.0502,-12.23,87,7,10.4,CA,2022-02-02 23:03:31,clear sky
444,Quelimane,-17.8786,36.8883,73.18,93,21,1.86,MZ,2022-02-02 23:03:32,few clouds
445,Rincon,32.296,-81.2354,68.18,86,100,8.05,US,2022-02-02 23:03:32,overcast clouds
446,Los Rastrojos,10.0259,-69.2417,76.24,68,80,4.94,VE,2022-02-02 23:03:32,broken clouds
447,Ferrol,43.4832,-8.2369,54.5,70,93,6.82,ES,2022-02-02 23:03:33,overcast clouds
448,Haines Junction,60.7522,-137.5108,7.07,89,100,2.39,CA,2022-02-02 23:03:33,overcast clouds
449,Puri,19.8,85.85,68.52,75,13,11.27,IN,2022-02-02 23:03:34,few clouds
450,Penalva,-3.2942,-45.1736,75.02,91,98,4.38,BR,2022-02-02 23:03:34,overcast clouds
451,San Lawrenz,36.0553,14.204,54.86,71,0,4.0,MT,2022-02-02 23:03:34,clear sky
452,Camapua,-19.5314,-54.0439,73.18,93,99,3.8,BR,2022-02-02 23:03:35,overcast clouds
453,Xuddur,4.1213,43.8894,72.81,70,98,13.35,SO,2022-02-02 23:03:35,overcast clouds
454,Navodari,44.3167,28.6,34.92,93,100,10.36,RO,2022-02-02 23:03:36,mist
455,Chamonix-Mont-Blanc,45.9238,6.8693,37.53,81,61,4.05,FR,2022-02-02 23:03:36,broken clouds
456,Mbanza-Ngungu,-5.25,14.8667,67.57,93,100,4.18,CD,2022-02-02 23:03:36,overcast clouds
457,Develi,38.3906,35.4922,43.95,88,93,11.9,TR,2022-02-02 23:03:37,overcast clouds
458,San Luis,-33.295,-66.3356,72.7,52,62,7.63,AR,2022-02-02 23:03:37,broken clouds
