City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Tres Arroyos,AR,2022-01-31 00:22:21,-38.3739,-60.2798,60.64,68,56,16.82
132,Port Hardy,CA,2022-01-31 00:22:22,50.6996,-127.4199,41.18,81,75,8.05
133,Dunedin,NZ,2022-01-31 00:22:22,-45.8742,170.5036,68.07,68,2,7.27
134,Olafsvik,IS,2022-01-31 00:22:23,64.8945,-23.7142,26.02,55,100,28.23
135,Vao,NC,2022-01-31 00:22:23,-22.6667,167.4833,79.21,84,99,7.74
136,Kruisfontein,ZA,2022-01-31 00:22:23,-34.0033,24.7314,64.89,95,87,2.68
137,Middelburg,ZA,2022-01-31 00:22:24,-25.7751,29.4648,59.05,93,96,5.01
138,Palmer,US,2022-01-31 00:22:24,42.1584,-72.3287,14.41,62,5,2.28
139,Half Moon Bay,US,2022-01-31 00:23:25,37.4636,-122.4286,65.73,71,0,1.01
140,Vaitape,PF,2022-01-31 00:23:25,-16.5167,-151.75,81.07,68,16,9.93
141,Ukiah,US,2022-01-31 00:23:25,39.1502,-123.2078,67.44,46,1,4.61
142,Ardakan,IR,2022-01-31 00:23:26,32.31,54.0175,34.18,31,15,3.38
143,Port Lincoln,AU,2022-01-31 00:23:26,-34.7333,135.8667,70.02,73,46,8.48
144,Cayenne,GF,2022-01-31 00:21:06,4.9333,-52.3333,79.09,86,0,4.0
145,Barra,BR,2022-01-31 00:23:27,-11.0894,-43.1417,75.87,74,46,2.91
146,Touros,BR,2022-01-31 00:20:57,-5.1989,-35.4608,79.7,78,14,11.48
147,Lensk,RU,2022-01-31 00:23:28,60.7253,114.9278,-6.74,98,99,3.49
148,Hithadhoo,MV,2022-01-31 00:23:28,-0.6,73.0833,81.93,71,58,10.38
149,Egvekinot,RU,2022-01-31 00:23:29,66.3167,-179.1667,0.88,68,72,7.16
150,Lorengau,PG,2022-01-31 00:23:29,-2.0226,147.2712,80.19,81,100,13.65
151,Richards Bay,ZA,2022-01-31 00:23:29,-28.783,32.0377,70.2,88,77,5.61
152,Smithers,CA,2022-01-31 00:23:30,54.7804,-127.1743,30.52,80,75,5.75
153,Ostrow Mazowiecka,PL,2022-01-31 00:23:30,52.8024,21.8951,30.49,85,100,20.65
154,Tuktoyaktuk,CA,2022-01-31 00:23:30,69.4541,-133.0374,-0.4,78,100,20.71
155,Canoinhas,BR,2022-01-31 00:23:31,-26.1772,-50.39,62.89,92,100,3.89
156,Zhigansk,RU,2022-01-31 00:23:31,66.7697,123.3711,-32.8,100,100,1.95
157,Sur,OM,2022-01-31 00:23:32,22.5667,59.5289,70.03,66,0,2.59
158,Ocos,GT,2022-01-31 00:23:32,14.5094,-92.1933,84.7,66,5,7.25
159,Bengkulu,ID,2022-01-31 00:18:15,-3.8004,102.2655,75.85,88,97,4.83
160,Winchester,GB,2022-01-31 00:23:33,51.0651,-1.3187,48.65,86,40,4.0
161,Miyang,CN,2022-01-31 00:23:33,24.4042,103.4428,45.5,95,91,4.21
162,Hobart,AU,2022-01-31 00:23:33,-42.8794,147.3294,82.02,56,20,1.01
163,Nakonde,ZM,2022-01-31 00:23:34,-9.3421,32.745,59.59,98,99,4.45
164,Saldanha,ZA,2022-01-31 00:23:34,-33.0117,17.9442,66.25,91,47,5.5
165,Ketchikan,US,2022-01-31 00:22:57,55.3422,-131.6461,34.27,93,100,6.91
166,Bosaso,SO,2022-01-31 00:23:35,11.2842,49.1816,72.64,76,92,2.53
167,Kahului,US,2022-01-31 00:23:35,20.8947,-156.47,84.22,44,20,5.75
168,Logon,PH,2022-01-31 00:23:36,11.3303,124.1146,80.82,76,51,8.05
169,Batagay,RU,2022-01-31 00:23:36,67.6333,134.6333,-36.47,99,43,1.19
170,Tual,ID,2022-01-31 00:23:37,-5.6667,132.75,83.91,77,100,18.63
171,Fuling,CN,2022-01-31 00:23:37,29.7022,107.3919,42.58,84,100,2.21
172,Kodiak,US,2022-01-31 00:16:05,57.79,-152.4072,27.91,64,0,10.36
173,Kontagora,NG,2022-01-31 00:23:38,10.3999,5.4695,72.66,12,100,9.42
174,Marawi,PH,2022-01-31 00:18:14,7.9986,124.2928,68.65,83,44,1.41
175,San Andres,CO,2022-01-31 00:23:39,12.5847,-81.7006,78.82,78,75,11.5
176,Mitsamiouli,KM,2022-01-31 00:23:39,-11.3847,43.2844,80.64,75,4,3.47
177,Waitara,NZ,2022-01-31 00:23:39,-38.925,174.25,73.99,61,82,4.41
178,Kieta,PG,2022-01-31 00:23:40,-6.2167,155.6333,85.06,72,100,7.43
179,Ponta Delgada,PT,2022-01-31 00:23:40,37.7333,-25.6667,59.72,72,40,16.11
180,Codrington,AU,2022-01-31 00:23:41,-38.2667,141.9667,78.35,60,39,1.68
181,Bullhead City,US,2022-01-31 00:23:41,35.1478,-114.5683,74.01,9,0,18.41
182,Boa Esperanca,BR,2022-01-31 00:23:41,-21.09,-45.5658,67.8,96,95,2.64
183,Reserva,BR,2022-01-31 00:23:42,-24.6503,-50.8506,63.48,99,98,3.33
184,Saint-Philippe,RE,2022-01-31 00:23:42,-21.3585,55.7679,78.39,86,42,10.47
185,Itarema,BR,2022-01-31 00:23:43,-2.9248,-39.9167,78.8,84,100,11.27
186,Chokurdakh,RU,2022-01-31 00:23:43,70.6333,147.9167,-29.79,96,17,2.01
187,Maarianhamina,AX,2022-01-31 00:24:44,60.0973,19.9348,28.26,74,75,13.8
188,Mokhsogollokh,RU,2022-01-31 00:24:44,61.4681,128.9203,-18.49,99,100,3.83
189,San Cristobal,VE,2022-01-31 00:24:44,7.7669,-72.225,68.18,89,82,2.84
190,Arraial Do Cabo,BR,2022-01-31 00:24:45,-22.9661,-42.0278,75.69,92,98,8.59
191,Isangel,VU,2022-01-31 00:22:47,-19.55,169.2667,82.51,89,100,9.22
192,Yichun,CN,2022-01-31 00:24:46,47.7,128.9,-6.81,98,99,1.68
193,Kavieng,PG,2022-01-31 00:24:46,-2.5744,150.7967,83.23,70,98,1.21
194,Lata,PT,2022-01-31 00:24:46,40.1629,-8.3327,44.71,54,90,3.33
195,Iqaluit,CA,2022-01-31 00:24:47,63.7506,-68.5145,-18.67,76,1,3.44
196,Blagodatnoye,RU,2022-01-31 00:24:47,45.3997,42.5867,31.12,85,99,11.16
197,Ambatondrazaka,MG,2022-01-31 00:24:48,-17.8333,48.4167,64.44,91,54,3.58
198,Chuy,UY,2022-01-31 00:24:48,-33.6971,-53.4616,71.06,77,14,13.38
199,Cascais,PT,2022-01-31 00:24:49,38.6979,-9.4215,57.06,38,0,5.01
200,Roald,NO,2022-01-31 00:24:49,62.5833,6.1333,32.32,74,97,10.36
201,Paamiut,GL,2022-01-31 00:24:50,61.994,-49.6678,16.39,83,100,10.18
202,Gaoua,BF,2022-01-31 00:24:50,10.2992,-3.2508,75.43,14,42,6.17
203,Oktyabrskoye,RU,2022-01-31 00:24:50,43.0645,44.7417,21.34,100,7,4.47
204,Ahuimanu,US,2022-01-31 00:24:51,21.4447,-157.8378,80.31,56,40,7.0
205,Broome,US,2022-01-31 00:24:51,42.2506,-75.833,14.38,75,0,4.0
206,Hobyo,SO,2022-01-31 00:24:52,5.3505,48.5268,76.26,80,96,14.56
207,Okhotsk,RU,2022-01-31 00:24:52,59.3833,143.3,12.47,74,99,15.66
208,Lappeenranta,FI,2022-01-31 00:24:52,61.0587,28.1887,23.05,88,100,11.5
209,Kralendijk,BQ,2022-01-31 00:24:53,12.15,-68.2667,78.78,73,0,8.05
210,Basco,PH,2022-01-31 00:24:53,20.4487,121.9702,71.26,75,87,30.87
211,Shebunino,RU,2022-01-31 00:24:54,46.4339,141.8603,17.37,79,100,11.23
212,Alofi,NU,2022-01-31 00:24:54,-19.0595,-169.9187,76.89,83,100,11.5
213,Huanren,CN,2022-01-31 00:24:55,41.2647,125.3667,8.38,75,14,0.92
214,Itaqui,BR,2022-01-31 00:24:55,-29.1253,-56.5531,78.33,32,0,8.95
215,Kirovskiy,RU,2022-01-31 00:24:56,45.0917,133.5136,-2.13,95,97,2.53
216,Talnakh,RU,2022-01-31 00:21:02,69.4865,88.3972,-15.79,94,87,9.06
217,Tuatapere,NZ,2022-01-31 00:24:56,-46.1333,167.6833,72.82,64,36,4.92
218,Moissac,FR,2022-01-31 00:24:57,44.1024,1.0945,42.33,94,6,6.51
219,Georgetown,MY,2022-01-31 00:15:11,5.4112,100.3354,79.9,89,20,2.3
220,Anloga,GH,2022-01-31 00:24:57,5.7947,0.8973,73.62,69,100,3.56
221,Nikolskoye,RU,2022-01-31 00:24:57,59.7035,30.7861,27.39,96,100,5.39
222,Coahuayana,MX,2022-01-31 00:22:10,18.7333,-103.6833,89.08,44,0,4.52
223,Otradnoye,RU,2022-01-31 00:22:39,59.7775,30.8181,28.04,96,100,5.53
224,Krasnopillya,UA,2022-01-31 00:24:58,50.7746,35.2597,29.95,96,99,15.17
225,Sulangan,PH,2022-01-31 00:24:59,11.1373,123.7228,80.58,78,55,7.56
226,Husavik,IS,2022-01-31 00:24:59,66.0449,-17.3389,22.91,70,47,34.2
227,Bilibino,RU,2022-01-31 00:18:09,68.0546,166.4372,-10.97,95,77,4.83
228,Faro,PT,2022-01-31 00:25:00,37.0194,-7.9322,47.98,61,0,5.75
229,Vestmannaeyjar,IS,2022-01-31 00:25:01,63.4427,-20.2734,31.75,63,100,37.16
230,Shimoda,JP,2022-01-31 00:25:01,34.6667,138.95,46.76,68,96,8.32
231,Saskylakh,RU,2022-01-31 00:26:02,71.9167,114.0833,-22.47,100,98,2.8
232,Pachino,IT,2022-01-31 00:21:07,36.7186,15.0907,46.6,81,0,14.25
233,Sitka,US,2022-01-31 00:26:02,57.0531,-135.33,39.09,75,40,4.61
234,Dayong,CN,2022-01-31 00:26:03,25.0209,118.2898,51.89,75,25,2.1
235,Cetraro,IT,2022-01-31 00:26:03,39.5166,15.9416,46.24,85,80,1.25
236,Petrolina,BR,2022-01-31 00:26:04,-9.3986,-40.5008,75.25,94,0,2.3
237,Ler,SS,2022-01-31 00:26:04,8.3018,30.1418,72.61,24,69,5.37
238,Swellendam,ZA,2022-01-31 00:26:04,-34.0226,20.4417,70.18,81,76,8.48
239,Cove,BJ,2022-01-31 00:26:05,7.221,2.3402,73.06,28,84,1.79
240,Adrar,MR,2022-01-31 00:26:05,20.5022,-10.0711,73.17,12,100,12.06
241,Agirish,RU,2022-01-31 00:26:06,61.9247,63.0231,-8.48,100,100,1.95
242,Melbourne,US,2022-01-31 00:23:07,28.0836,-80.6081,50.97,63,0,0.0
243,Kalmunai,LK,2022-01-31 00:26:06,7.4167,81.8167,75.88,87,41,3.69
244,Roela,EE,2022-01-31 00:26:06,59.1667,26.5926,26.44,96,100,8.77
245,Port Augusta,AU,2022-01-31 00:26:07,-32.5,137.7667,94.71,33,88,5.48
246,Tutoia,BR,2022-01-31 00:26:07,-2.7619,-42.2744,82.38,81,90,10.76
247,Ortakoy,TR,2022-01-31 00:26:08,38.7373,34.0387,28.65,93,98,18.23
248,Aklavik,CA,2022-01-31 00:26:08,68.2191,-135.0107,4.03,96,100,3.38
249,Tezu,IN,2022-01-31 00:26:09,27.9167,96.1667,50.45,54,15,3.53
250,Umm Lajj,SA,2022-01-31 00:26:09,25.0213,37.2685,63.34,59,87,9.55
251,Waingapu,ID,2022-01-31 00:26:09,-9.6567,120.2641,80.83,78,100,13.58
252,Guerrero Negro,MX,2022-01-31 00:22:36,27.9769,-114.0611,63.45,54,53,14.47
253,Vila Franca Do Campo,PT,2022-01-31 00:26:10,37.7167,-25.4333,59.41,80,48,15.1
254,High Level,CA,2022-01-31 00:26:11,58.5169,-117.136,-0.29,85,90,10.36
255,Saint-Augustin,CA,2022-01-31 00:26:11,51.226,-58.6502,14.11,83,100,26.93
256,Hamadan,IR,2022-01-31 00:26:12,34.7992,48.5146,25.29,69,0,7.74
257,Novopokrovka,UA,2022-01-31 00:26:12,49.8425,36.5477,32.38,92,100,14.65
258,Vestmanna,FO,2022-01-31 00:26:13,62.1564,-7.1664,32.92,55,75,29.93
259,Hasaki,JP,2022-01-31 00:23:54,35.7333,140.8333,39.6,45,100,16.78
260,Sayansk,RU,2022-01-31 00:26:13,54.1088,102.1648,-6.09,98,100,2.15
261,Severo-Yeniseyskiy,RU,2022-01-31 00:21:20,60.3725,93.0408,-5.26,98,98,2.86
262,Esperance,AU,2022-01-31 00:26:14,-33.8667,121.9,67.84,76,22,17.65
263,Buraydah,SA,2022-01-31 00:26:14,26.326,43.975,55.85,44,93,11.81
264,Carballo,ES,2022-01-31 00:26:15,43.213,-8.691,45.86,88,0,2.28
265,Makubetsu,JP,2022-01-31 00:26:15,45.3714,141.8211,17.31,62,75,3.44
266,Nacala,MZ,2022-01-31 00:26:16,-14.5428,40.6728,73.24,91,1,3.89
267,Baruun-Urt,MN,2022-01-31 00:26:16,46.6806,113.2792,-9.17,94,64,4.59
268,Labuhan,ID,2022-01-31 00:26:17,-6.8844,112.2051,79.0,84,100,7.7
269,Beringovskiy,RU,2022-01-31 00:26:17,63.05,179.3167,-6.61,97,100,10.16
270,Alamosa,US,2022-01-31 00:26:17,37.4695,-105.87,38.71,41,0,3.44
271,Sibolga,ID,2022-01-31 00:26:18,1.7427,98.7792,75.97,87,99,1.63
272,Independenta,RO,2022-01-31 00:26:18,45.4833,27.75,37.74,61,61,5.03
273,Los Llanos De Aridane,ES,2022-01-31 00:26:19,28.6585,-17.9182,58.75,75,20,7.0
274,Cidreira,BR,2022-01-31 00:26:19,-30.1811,-50.2056,73.74,71,4,18.92
275,Smirnykh,RU,2022-01-31 00:26:20,49.75,142.8333,6.4,80,89,6.46
276,Arlit,NE,2022-01-31 00:26:20,18.7369,7.3853,61.75,15,3,10.71
277,Wuwei,CN,2022-01-31 00:27:20,37.9281,102.6414,15.89,46,74,3.51
278,Calama,CL,2022-01-31 00:27:21,-22.4667,-68.9333,59.88,46,0,14.34
279,Clinton,US,2022-01-31 00:24:07,42.587,-82.9199,26.28,67,87,1.74
280,Wilmington,US,2022-01-31 00:27:21,34.2257,-77.9447,47.86,59,0,3.44
281,Carutapera,BR,2022-01-31 00:27:22,-1.195,-46.02,74.95,93,98,6.2
282,Ilulissat,GL,2022-01-31 00:27:22,69.2167,-51.1,3.22,55,84,20.71
283,Roebourne,AU,2022-01-31 00:27:23,-20.7833,117.1333,91.6,41,98,12.66
284,Neryungri,RU,2022-01-31 00:27:23,56.6709,124.6491,-12.57,98,100,6.06
285,Camacha,PT,2022-01-31 00:27:24,33.0833,-16.3333,61.56,82,20,17.27
286,De Aar,ZA,2022-01-31 00:27:24,-30.6497,24.0123,70.27,63,100,0.54
287,Houma,US,2022-01-31 00:27:25,29.5958,-90.7195,60.01,69,0,6.91
288,Geraldton,AU,2022-01-31 00:27:25,-28.7667,114.6,75.61,78,0,11.5
289,Sungaipenuh,ID,2022-01-31 00:27:25,-2.0833,101.3833,64.62,95,90,1.9
290,Harper,LR,2022-01-31 00:27:26,4.375,-7.7169,79.07,86,51,6.64
291,Fort Abbas,PK,2022-01-31 00:27:26,29.1925,72.8536,56.64,26,0,2.95
292,Tiksi,RU,2022-01-31 00:27:27,71.6872,128.8694,-19.01,100,97,4.03
